GameID;Date;Edition;LocalTime;HomeTeam;HomeTeamCode;AwayTeam;AwayTeamCode;HomeTeamScore;AwayTeamScore;Score (1X2);1,00;X;2,00;Group;Stage;;;;;;;;;;
132;13.06.14;2014;18:00;Chile;CHI;Australia;AUS;3;1;1;1,42;4,43;8,88;;1st stage;;;;;;;;;;
133;14.06.14;2014;13:00;Colombia;COL;Greece;GRE;3;0;1;1,86;3,26;5,17;;1st stage;;;;;;;;;;
134;14.06.14;2014;16:00;Uruguay;URU;Costa Rica;CRI;1;3;2;1,44;4,25;8,82;;1st stage;;;;;;;;;;
135;14.06.14;2014;18:00;England;ENG;Italy;ITA;1;2;2;2,52;2,97;3,26;;1st stage;;;;;;;;;;
136;14.06.14;2014;22:00;Ivory Cost;CIV;Japan;JPN;2;1;1;2,70;3,30;2,71;;1st stage;;;;;;;;;;
137;15.06.14;2014;13:00;Switzerland;SUI;Ecuador;ECU;2;1;1;2,43;3,20;3,14;;1st stage;;;;;;;;;;
138;15.06.14;2014;16:00;France;FRA;Honduras;HON;3;0;1;1,27;5,92;12,19;;1st stage;;;;;;;;;;
139;15.06.14;2014;19:00;Argentina;ARG;Bosnia & Herzegovina;BIH;2;1;1;1,30;5,56;10,59;;1st stage;;;;;;;;;;
140;16.06.14;2014;13:00;Germany;GER;Portugal;POR;4;0;1;2,08;3,50;3,67;;1st stage;;;;;;;;;;
141;16.06.14;2014;16:00;Iran;IRN;Nigeria;NIG;0;0;X;4,78;3,49;1,83;;1st stage;;;;;;;;;;
142;16.06.14;2014;19:00;Ghana;GHA;USA;USA;1;2;2;2,41;3,41;2,99;;1st stage;;;;;;;;;;
143;17.06.14;2014;13:00;Belgium;BEL;Algeria;ALG;2;1;1;1,33;5,22;10,25;;1st stage;;;;;;;;;;
144;17.06.14;2014;16:00;Brazil;BRA;Mexico;MEX;0;0;X;1,34;5,31;9,31;;1st stage;;;;;;;;;;
145;17.06.14;2014;18:00;Russia;RUS;South Korea;KOR;1;1;X;1,81;3,60;4,66;;1st stage;;;;;;;;;;
146;18.06.14;2014;13:00;Australia;AUS;Netherlands;NED;2;3;2;12,98;6,55;1,23;;1st stage;;;;;;;;;;
147;18.06.14;2014;16:00;Spain;ESP;Chile;CHI;0;2;2;1,57;4,45;5,55;;1st stage;;;;;;;;;;
148;18.06.14;2014;18:00;Cameroon;CMR;Croatia;CRO;0;4;2;5,51;3,92;1,65;;1st stage;;;;;;;;;;
149;19.06.14;2014;13:00;Colombia;COL;Ivory Cost;CIV;2;1;1;2,03;3,51;3,76;;1st stage;;;;;;;;;;
150;19.06.14;2014;16:00;Uruguay;URU;England;ENG;2;1;1;3,79;3,79;1,94;;1st stage;;;;;;;;;;
151;19.06.14;2014;19:00;Japan;JPN;Greece;GRE;0;0;X;2,40;3,38;3,04;;1st stage;;;;;;;;;;
152;20.06.14;2014;13:00;Italy;ITA;Costa Rica;CRI;0;1;2;1,57;4,03;6,43;;1st stage;;;;;;;;;;
153;20.06.14;2014;16:00;Switzerland;SUI;France;FRA;2;5;2;4,56;3,52;1,85;;1st stage;;;;;;;;;;
154;20.06.14;2014;19:00;Honduras;HON;Ecuador;ECU;1;2;2;5,78;4,15;1,59;;1st stage;;;;;;;;;;
155;21.06.14;2014;13:00;Argentina;ARG;Iran;IRN;1;0;1;1,14;8,52;21,17;;1st stage;;;;;;;;;;
156;21.06.14;2014;16:00;Germany;GER;Ghana;GHA;2;2;1;1,33;5,56;9,26;;1st stage;;;;;;;;;;
157;21.06.14;2014;18:00;Nigeria;NIG;Bosnia & Herzegovina;BIH;1;0;1;4,26;3,64;1,87;;1st stage;;;;;;;;;;
158;22.06.14;2014;13:00;Belgium;BEL;Russia;RUS;1;0;1;2,23;3,34;3,40;;1st stage;;;;;;;;;;
159;22.06.14;2014;16:00;South Africa;KOR;Algeria;ALG;2;4;2;2,51;3,29;2,94;;1st stage;;;;;;;;;;
160;22.06.14;2014;18:00;USA;USA;Portugal;POR;2;2;X;4,53;4,12;1,73;;1st stage;;;;;;;;;;
161;23.06.14;2014;13:00;Australia;AUS;Spain;ESP;0;3;2;7,87;5,28;1,38;;1st stage;;;;;;;;;;
162;23.06.14;2014;13:00;Netherlands;NED;Chile;CHI;2;0;1;2,67;3,54;2,61;;1st stage;;;;;;;;;;
163;23.06.14;2014;17:00;Cameroon;CMR;Brazil;BRA;1;4;2;21,64;9,33;1,13;;1st stage;;;;;;;;;;
164;23.06.14;2014;17:00;Croatia;CRO;Mexico;MEX;1;3;2;2,69;3,45;2,63;;1st stage;;;;;;;;;;
165;24.06.14;2014;13:00;Italy;ITA;Uruguay;URU;0;1;2;2,53;3,46;2,79;;1st stage;;;;;;;;;;
166;24.06.14;2014;13:00;Costa Rica ;CRI;England;ENG;0;0;X;4,37;3,96;1,78;;1st stage;;;;;;;;;;
167;24.06.14;2014;16:00;Japan;JPN;Colombia;COL;1;4;2;3,49;3,71;2,06;;1st stage;;;;;;;;;;
168;24.06.14;2014;17:00;Greece;GRE;Ivory Cost;CIV;2;1;1;4,04;3,58;1,94;;1st stage;;;;;;;;;;
169;25.06.14;2014;13:00;Nigeria;NIG;Argentina;ARG;2;3;2;9,23;4,17;1,44;;1st stage;;;;;;;;;;
170;25.06.14;2014;13:00;Bosnia & Herzegovina;BIH;Iran;IRN;3;1;1;2,22;3,52;3,25;;1st stage;;;;;;;;;;
171;25.06.14;2014;16:00;Honduras;HON;Switzerland;SUI;0;3;2;7,10;4,42;1,48;;1st stage;;;;;;;;;;
172;25.06.14;2014;17:00;Ecuador;ECU;France;FRA;0;0;X;5,53;4,11;1,61;;1st stage;;;;;;;;;;
173;26.06.14;2014;13:00;USA;USA;Germany;GER;0;1;2;8,23;3,08;1,68;;1st stage;;;;;;;;;;
174;26.06.14;2014;13:00;Portugal;POR;Ghana;GHA;2;1;1;1,77;4,75;3,76;;1st stage;;;;;;;;;;
175;26.06.14;2014;17:00;South Korea;KOR;Belgium;BEL;0;1;2;4,66;3,54;1,84;;1st stage;;;;;;;;;;
176;26.06.14;2014;17:00;Algeria;ALG;Russia;RUS;1;1;X;3,69;3,67;2,01;;1st stage;;;;;;;;;;
177;28.06.14;2014;13:00;Brazil;BRA;Chile;CHI;1;1;X;1,53;4,41;6,26;;Round of 16;;;;;;;;;;
178;28.06.14;2014;17:00;Colombia;COL;Uruguay;COL;2;0;1;2,13;3,33;3,71;;Round of 16;;;;;;;;;;
179;29.06.14;2014;13:00;Netherlands;NED;Mexico;MEX;2;1;1;2,13;3,35;3,71;;Round of 16;;;;;;;;;;
180;29.06.14;2014;17:00;Costa Rica ;CRI;Greece;GRE;1;1;X;2,69;3,06;2,94;;Round of 16;;;;;;;;;;
181;30.06.14;2014;13:00;France;FRA;Nigeria;NIG;2;0;1;1,41;4,61;8,82;;Round of 16;;;;;;;;;;
182;30.06.14;2014;17:00;Germany;GER;Algeria;ALG;0;0;X;1,31;5,51;10,46;;Round of 16;;;;;;;;;;
183;01.07.14;2014;13:00;Argentina;ARG;Switzerland;SUI;0;0;X;1,56;4,12;6,42;;Round of 16;;;;;;;;;;
184;01.07.14;2014;17:00;Belgium;BEL;USA;USA;0;0;X;2,02;3,40;4,02;;Round of 16;;;;;;;;;;
185;04.07.14;2014;13:00;France;FRA;Germany;GER;0;1;2;2,82;3,12;2,76;;Quarter-finals;;;;;;;;;;
186;04.07.14;2014;17:00;Brazil;BRA;Colombia;COL;2;1;1;1,77;3,79;4,81;;Quarter-finals;;;;;;;;;;
187;05.07.14;2014;13:00;Argentina;ARG;Belgium;BEL;1;0;1;1,98;3,36;4,21;;Quarter-finals;;;;;;;;;;
188;05.07.14;2014;17:00;Netherlands;NED;Costa Rica;CRI;0;0;X;1,52;4,14;7,11;;Quarter-finals;;;;;;;;;;
189;08.07.14;2014;17:00;Brazil;BRA;Germany;GER;1;7;2;2,65;3,19;2,92;;Semi-finals;;;;;;;;;;
190;09.07.14;2014;17:00;Netherlands;NED;Argentina;ARG;0;0;X;3,04;3,23;2,54;;Semi-finals;;;;;;;;;;
191;12.07.14;2014;17:00;Brazil;BRA;Netherlands;NED;0;3;2;2,17;3,71;3,27;;Third place;;;;;;;;;;
192;13.07.14;2014;16:00;Germany;GER;Argentina;ARG;0;0;X;2,37;3,28;3,30;;Final;;;;;;;;;;
193;14.06.18;2018;18:00;Russia;RUS;Saudi Arabia;KSA;5;0;1;1,46;4,33;9,11;;1st stage;;;;;;;;;;
194;15.06.18;2018;17:00;Egypt;EGY;Uruguay;URU;0;1;2;8,32;4,09;1,51;;1st stage;;;;;;;;;;
195;15.06.18;2018;18:00;Morocco;MAR;Iran;IRN;0;1;2;2,23;2,98;4,17;;1st stage;;;;;;;;;;
196;15.06.18;2018;21:00;Portugal;POR;Spain;ESP;3;3;X;4,42;3,25;2,03;;1st stage;;;;;;;;;;
