Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home ex-rank;Home Team Shots;Away ex-rank;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
3988;26.12.18;Tottenham;Bournemouth;5;0;H;C Kavanagh;3;10;12;14;7;4;4;8;3;4;2;1;0;0;1.36;5.5;9;1.34;5.25;9;1.35;5.2;8.4;1.33;5.25;9;1.36;5.5;10;37;1.38;1.35;5.5;5.23;10.01;9.12;35;1.52;1.48;2.95;2.62
3999;30.12.18;Man United;Bournemouth;4;1;H;L Mason;2;11;12;7;8;3;10;7;4;5;2;0;1;0;1.33;4.75;10;1.33;5.25;9.25;1.33;5.3;8.8;1.35;5.25;8.5;1.36;5.4;9;37;1.39;1.36;5.75;5.26;10;8.67;35;1.57;1.54;2.64;2.49
4018;13.01.19;Everton;Bournemouth;2;0;H;A Taylor;8;15;12;16;3;7;17;8;5;9;5;0;0;0;1.75;4;4.8;1.75;3.9;4.6;1.8;3.7;4.4;1.75;3.75;4.75;1.75;4;4.8;38;1.81;1.76;4.05;3.89;4.91;4.64;37;1.72;1.68;2.3;2.2
4043;02.02.19;Cardiff;Bournemouth;2;0;H;J Moss;22;12;12;9;5;2;17;14;6;7;1;2;0;0;3.25;3.5;2.3;3;3.4;2.35;3.1;3.4;2.3;3.2;3.4;2.25;3.3;3.5;2.3;35;3.31;3.15;3.5;3.41;2.42;2.32;34;2.01;1.92;1.95;1.89
4056;09.02.19;Liverpool;Bournemouth;3;0;H;A Taylor;4;20;12;12;9;2;14;6;8;5;2;2;0;0;1.22;7.5;14;1.19;7.25;13.5;1.2;6.5;15;1.2;7;15;1.2;7.5;15;34;1.22;1.2;7.7;7.17;17;14.53;33;1.45;1.41;3.15;2.87
4074;27.02.19;Arsenal;Bournemouth;5;1;H;C Kavanagh;6;16;12;13;6;5;11;9;9;4;2;2;0;0;1.44;5;7.5;1.44;4.75;7;1.4;4.8;7.5;1.42;4.75;7.5;1.45;5;7.5;35;1.46;1.44;5;4.79;8.25;7.17;33;1.56;1.52;2.66;2.54
4092;09.03.19;Huddersfield;Bournemouth;0;2;A;A Taylor;16;8;12;8;1;5;14;9;6;5;3;1;0;0;3.4;3.3;2.35;3.4;3.2;2.25;3.35;3.2;2.25;3.4;3.2;2.25;3.6;3.25;2.3;34;3.6;3.4;3.32;3.24;2.4;2.29;33;2.33;2.22;1.71;1.67
4109;30.03.19;Leicester;Bournemouth;2;0;H;L Mason;9;18;12;8;4;2;6;12;6;1;0;2;0;0;1.85;3.8;4.5;1.8;3.75;4.33;1.9;3.5;4.1;1.8;3.75;4.33;1.85;3.8;4.6;34;1.9;1.83;4;3.79;4.6;4.34;33;1.71;1.68;2.4;2.21
4127;13.04.19;Brighton;Bournemouth;0;5;A;K Friend;15;8;12;14;1;7;10;6;4;1;2;4;1;0;2.3;3.4;3.4;2.3;3.2;3.3;2.25;3.3;3.3;2.25;3.3;3.3;2.25;3.4;3.5;34;2.33;2.28;3.45;3.32;3.5;3.35;33;2.17;2.08;1.81;1.77
4155;27.04.19;Southampton;Bournemouth;3;3;D;G Scott;17;22;12;9;7;5;8;9;9;3;2;1;0;0;1.9;3.9;4.1;1.9;3.6;4.1;1.87;3.7;4;1.85;3.7;4.2;1.9;3.8;4.3;35;1.95;1.91;3.9;3.72;4.3;4.03;34;1.8;1.75;2.18;2.08
